time,value,is_anomaly
2006-12-16 00:00:00+00:00,0.9493,False
2006-12-16 01:00:00+00:00,1.0926,False
2006-12-16 02:00:00+00:00,1.1114,False
2006-12-16 03:00:00+00:00,1.3047,False
2006-12-16 04:00:00+00:00,1.1282,False
2006-12-16 05:00:00+00:00,1.1046,False
2006-12-16 06:00:00+00:00,1.2147,False
2006-12-16 07:00:00+00:00,1.4533,False
2006-12-16 08:00:00+00:00,1.6416,False
2006-12-16 09:00:00+00:00,1.425,False
2006-12-16 10:00:00+00:00,1.0171,False
2006-12-16 11:00:00+00:00,1.1381,False
2006-12-16 12:00:00+00:00,1.268,False
2006-12-16 13:00:00+00:00,0.8413,False
2006-12-16 14:00:00+00:00,1.343,False
2006-12-16 15:00:00+00:00,1.0321,False
2006-12-16 16:00:00+00:00,0.9263,False
2006-12-16 17:00:00+00:00,1.1181,False
2006-12-16 18:00:00+00:00,1.6019,False
2006-12-16 19:00:00+00:00,1.8011,False
2006-12-16 20:00:00+00:00,2.543,False
2006-12-16 21:00:00+00:00,1.5997,False
2006-12-16 22:00:00+00:00,1.5978,False
2006-12-16 23:00:00+00:00,1.3215,False
2006-12-17 00:00:00+00:00,0.9627,False
2006-12-17 01:00:00+00:00,1.5528,False
2006-12-17 02:00:00+00:00,1.1802,False
2006-12-17 03:00:00+00:00,1.1799,False
2006-12-17 04:00:00+00:00,1.331,False
2006-12-17 05:00:00+00:00,1.0031,False
2006-12-17 06:00:00+00:00,1.3343,False
2006-12-17 07:00:00+00:00,1.296,False
2006-12-17 08:00:00+00:00,1.2445,False
2006-12-17 09:00:00+00:00,1.5231,False
2006-12-17 10:00:00+00:00,1.378,False
2006-12-17 11:00:00+00:00,1.4091,False
2006-12-17 12:00:00+00:00,0.9913,False
2006-12-17 13:00:00+00:00,1.1372,False
2006-12-17 14:00:00+00:00,0.9879,False
2006-12-17 15:00:00+00:00,0.8766,False
2006-12-17 16:00:00+00:00,1.0223,False
2006-12-17 17:00:00+00:00,1.602,False
2006-12-17 18:00:00+00:00,1.7663,False
2006-12-17 19:00:00+00:00,2.0454,False
2006-12-17 20:00:00+00:00,1.7778,False
2006-12-17 21:00:00+00:00,1.6367,False
2006-12-17 22:00:00+00:00,0.8565,False
2006-12-17 23:00:00+00:00,1.054,False
2006-12-18 00:00:00+00:00,1.1207,False
2006-12-18 01:00:00+00:00,1.155,False
2006-12-18 02:00:00+00:00,1.2431,False
2006-12-18 03:00:00+00:00,0.8294,False
2006-12-18 04:00:00+00:00,1.1724,False
2006-12-18 05:00:00+00:00,1.288,False
2006-12-18 06:00:00+00:00,1.4585,False
2006-12-18 07:00:00+00:00,1.8468,False
2006-12-18 08:00:00+00:00,1.2672,False
2006-12-18 09:00:00+00:00,1.2223,False
2006-12-18 10:00:00+00:00,1.1917,False
2006-12-18 11:00:00+00:00,1.1151,False
2006-12-18 12:00:00+00:00,0.9327,False
2006-12-18 13:00:00+00:00,1.2698,False
2006-12-18 14:00:00+00:00,1.2559,False
2006-12-18 15:00:00+00:00,1.0165,False
2006-12-18 16:00:00+00:00,1.008,False
2006-12-18 17:00:00+00:00,1.1531,False
2006-12-18 18:00:00+00:00,1.6097,False
2006-12-18 19:00:00+00:00,2.0826,False
2006-12-18 20:00:00+00:00,2.3503,False
2006-12-18 21:00:00+00:00,2.4515,False
2006-12-18 22:00:00+00:00,1.8142,False
2006-12-18 23:00:00+00:00,1.3013,False
2006-12-19 00:00:00+00:00,0.9209,False
2006-12-19 01:00:00+00:00,0.8249,False
2006-12-19 02:00:00+00:00,0.9387,False
2006-12-19 03:00:00+00:00,0.9981,False
2006-12-19 04:00:00+00:00,0.882,False
2006-12-19 05:00:00+00:00,1.1369,False
2006-12-19 06:00:00+00:00,1.1749,False
2006-12-19 07:00:00+00:00,1.2341,False
2006-12-19 08:00:00+00:00,1.4622,False
2006-12-19 09:00:00+00:00,1.2492,False
2006-12-19 10:00:00+00:00,1.0522,False
2006-12-19 11:00:00+00:00,0.9106,False
2006-12-19 12:00:00+00:00,1.0652,False
2006-12-19 13:00:00+00:00,0.9687,False
2006-12-19 14:00:00+00:00,0.7647,False
2006-12-19 15:00:00+00:00,0.8239,False
2006-12-19 16:00:00+00:00,0.6522,False
2006-12-19 17:00:00+00:00,1.0622,False
2006-12-19 18:00:00+00:00,1.1187,False
2006-12-19 19:00:00+00:00,1.4321,False
2006-12-19 20:00:00+00:00,1.4976,False
2006-12-19 21:00:00+00:00,1.3405,False
2006-12-19 22:00:00+00:00,1.2621,False
2006-12-19 23:00:00+00:00,0.8738,False
2006-12-20 00:00:00+00:00,1.0425,False
2006-12-20 01:00:00+00:00,1.1265,False
2006-12-20 02:00:00+00:00,0.7663,False
2006-12-20 03:00:00+00:00,1.058,False
2006-12-20 04:00:00+00:00,0.8553,False
2006-12-20 05:00:00+00:00,1.0365,False
2006-12-20 06:00:00+00:00,1.1411,False
2006-12-20 07:00:00+00:00,0.9361,False
2006-12-20 08:00:00+00:00,1.3592,False
2006-12-20 09:00:00+00:00,0.9336,False
2006-12-20 10:00:00+00:00,1.0135,False
2006-12-20 11:00:00+00:00,1.3814,False
2006-12-20 12:00:00+00:00,0.9952,False
2006-12-20 13:00:00+00:00,0.5911,False
2006-12-20 14:00:00+00:00,0.9496,False
2006-12-20 15:00:00+00:00,0.9927,False
2006-12-20 16:00:00+00:00,0.8891,False
2006-12-20 17:00:00+00:00,1.0498,False
2006-12-20 18:00:00+00:00,1.3991,False
2006-12-20 19:00:00+00:00,2.1238,False
2006-12-20 20:00:00+00:00,2.8485,False
2006-12-20 21:00:00+00:00,1.7089,False
2006-12-20 22:00:00+00:00,1.5605,False
2006-12-20 23:00:00+00:00,1.1464,False
2006-12-21 00:00:00+00:00,1.5242,False
2006-12-21 01:00:00+00:00,0.9579,False
2006-12-21 02:00:00+00:00,1.0612,False
2006-12-21 03:00:00+00:00,1.3714,False
2006-12-21 04:00:00+00:00,1.6784,False
2006-12-21 05:00:00+00:00,1.7483,False
2006-12-21 06:00:00+00:00,1.4862,False
2006-12-21 07:00:00+00:00,1.9329,False
2006-12-21 08:00:00+00:00,1.4849,False
